sensorspeed,units,gravity,Accuracy
1.501,4.712,7.937,0
1.537,4.69,7.941,5
1.537,4.597,7.908,5
1.547,4.494,7.929,5
1.532,4.431,7.984,5
1.504,4.391,8.037,5
1.647,4.276,8.056,5
1.571,4.23,8.061,5
1.515,4.206,8.188,5
1.58,4.075,8.272,5
1.293,4.099,8.351,5
1.623,3.938,8.339,5
1.676,3.802,8.437,5
1.429,3.799,8.554,5
1.35,3.768,8.672,5
1.518,3.718,8.832,5
1.468,3.687,8.887,5
1.293,3.756,8.949,5
1.573,3.72,9.014,5
1.606,3.68,8.973,5
1.396,3.742,8.854,5
0.699,4.089,8.459,5
0.836,4.249,8.502,5
1.283,4.228,8.48,5
1.317,4.271,8.15,6
1.374,4.357,7.867,5
1.475,4.352,7.664,5
1.585,4.333,7.532,5
1.784,4.288,7.503,5
2.025,4.297,7.484,5
2.21,4.312,7.489,5
2.38,4.343,7.513,5
2.389,4.412,7.525,5
2.373,4.458,7.599,5
2.466,4.494,7.709,5
2.579,4.475,7.738,5
2.631,4.46,7.712,5
2.598,4.367,7.683,5
2.614,4.302,7.716,5
2.59,4.271,7.716,5
2.509,4.242,7.733,5
2.442,4.261,7.767,5
2.344,4.312,7.872,5
2.203,4.367,7.965,5
2.018,4.388,8.061,5
1.808,4.427,8.099,5
1.549,4.498,8.133,5
1.319,4.482,8.245,5
1.106,4.467,8.353,6
0.871,4.522,8.329,5
0.725,4.494,8.43,5
0.663,4.487,8.547,5
0.673,4.415,8.664,5
0.687,4.331,8.76,5
0.682,4.271,8.983,5
0.735,4.175,9.162,5
0.747,4.101,9.488,5
0.701,4.082,9.716,5
0.766,4.065,9.941,5
0.905,4.091,10.032,5
0.955,4.12,10.02,5
1.053,4.008,10.051,5
1.207,3.905,9.996,5
1.255,3.85,9.735,5
1.219,3.816,9.471,5
1.108,3.869,9.349,5
1.049,3.977,9.184,5
0.955,4.161,9.057,5
0.862,4.343,8.964,5
0.646,4.558,8.846,5
0.414,4.673,8.77,5
0.297,4.795,8.76,5
0.23,4.882,8.916,5
0.227,4.92,9.138,6
0.292,4.85,9.344,5
0.338,4.776,9.51,5
0.378,4.762,9.639,5
0.373,4.709,9.785,5
0.405,4.688,9.89,5
0.457,4.613,10,5
0.546,4.525,10.015,5
0.658,4.419,10,5
0.718,4.331,9.953,5
0.745,4.269,9.862,5
0.828,4.223,9.816,5
0.943,4.249,9.699,5
1.125,4.257,9.466,5
1.391,4.391,9.031,5
1.647,4.666,8.554,5
1.803,4.91,8.073,5
1.812,5.054,7.618,5
1.702,5.116,7.288,5
1.597,5.066,7.161,5
1.482,4.977,7.302,5
1.345,4.846,7.702,5
1.111,4.747,8.233,5
0.912,4.724,8.715,5
0.773,4.762,9.134,6
0.61,4.776,9.608,5
0.488,4.817,10.003,5
0.448,4.807,10.278,5
0.469,4.69,10.546,5
0.405,4.58,10.613,5
0.256,4.352,10.664,5
0.053,4.024,10.625,5
-0.138,3.749,10.498,5
-0.408,3.558,10.558,5
-0.571,3.361,10.728,5
-0.619,3.287,10.798,5
-0.612,3.347,10.87,5
-0.507,3.488,10.917,5
-0.365,3.706,10.68,5
-0.2,3.984,10.331,5
-0.033,4.113,9.926,5
0.144,4.249,9.512,5
0.225,4.206,9.081,5
0.215,4.137,8.65,5
0.206,4.082,8.313,5
0.213,4.015,8.147,5
0.247,4.036,8.154,5
0.302,4.029,8.248,5
0.338,4.091,8.406,5
0.393,4.137,8.573,6
0.464,4.135,8.772,5
0.527,4.087,8.959,5
0.642,4.008,9.081,5
0.697,3.871,9.277,5
0.764,3.742,9.443,5
0.816,3.603,9.56,5
0.9,3.469,9.672,5
0.95,3.316,9.689,5
0.955,3.222,9.68,5
0.979,3.151,9.706,5
0.936,3.074,9.66,5
0.907,3.016,9.601,5
0.812,2.985,9.531,5
0.685,2.997,9.478,5
0.584,3.038,9.457,5
0.5,3.021,9.356,5
0.493,3.014,9.244,5
0.529,3.007,9.158,5
0.649,2.945,9.026,5
0.757,2.952,8.928,5
0.807,3.005,8.856,5
0.883,3.062,8.691,5
0.97,3.098,8.447,5
1.065,3.136,8.145,6
1.176,3.158,7.872,5
1.286,3.184,7.63,5
1.432,3.208,7.369,5
1.575,3.253,7.166,5
1.688,3.294,6.969,5
1.736,3.294,6.785,5
1.843,3.316,6.66,5
1.982,3.404,6.615,5
2.002,3.469,6.632,5
2.069,3.498,6.72,5
2.09,3.574,6.907,5
2.016,3.646,7.015,5
1.877,3.665,7.137,5
1.736,3.713,7.331,5
1.599,3.749,7.589,5
1.508,3.814,7.85,5
1.458,3.854,8.085,5
1.345,3.878,8.222,5
1.29,3.869,8.332,5
1.195,3.886,8.401,5
1.118,3.878,8.454,5
0.979,3.85,8.585,5
0.84,3.816,8.784,5
0.694,3.797,8.952,5
0.601,3.823,9.071,6
0.529,3.821,9.203,5
0.433,3.85,9.361,5
0.373,3.842,9.445,5
0.251,3.828,9.51,5
0.259,3.842,9.514,5
0.292,3.876,9.603,5
0.357,3.907,9.567,5
0.474,3.893,9.414,5
0.589,3.83,9.304,5
0.745,3.792,9.292,5
0.907,3.684,9.249,5
1.065,3.656,9.28,5
1.183,3.622,9.218,5
1.336,3.608,9.119,5
1.472,3.665,9.086,5
1.504,3.668,9.007,5
1.527,3.761,8.911,5
1.568,3.802,8.868,5
1.563,3.881,8.796,5
1.58,3.883,8.789,5
1.556,3.905,8.731,5
1.504,3.981,8.839,5
1.403,4.034,8.942,5
1.334,4.063,9.05,6
1.226,4.151,9.251,5
1.161,4.211,9.388,5
1.118,4.3,9.512,5
1.032,4.362,9.534,5
0.984,4.379,9.498,5
0.948,4.372,9.407,5
0.915,4.345,9.246,5
0.936,4.34,9.129,5
0.982,4.393,9.095,5
1.08,4.475,9.071,5
1.29,4.757,9.002,5
1.532,5.133,8.815,5
1.59,5.494,8.547,5
1.523,5.602,8.463,5
1.36,5.502,8.511,5
1.113,5.324,8.655,5
0.91,5.083,8.782,5
0.706,4.941,8.796,5
0.51,4.853,8.81,5
0.33,4.841,8.933,5
0.266,4.896,9.165,5
0.278,4.889,9.426,5
0.292,4.757,9.646,5
0.27,4.604,10.041,6
0.189,4.352,10.297,5
0.17,4.125,10.4,5
0.215,3.898,10.508,5
0.278,3.696,10.707,5
0.338,3.488,10.834,5
0.402,3.352,10.855,5
0.512,3.244,10.903,5
0.685,3.11,10.989,5
0.836,3.002,10.968,5
0.948,2.894,10.791,5
0.991,2.813,10.597,5
1.073,2.763,10.386,5
1.156,2.77,10.199,5
1.243,2.813,9.986,5
1.329,2.856,9.689,5
1.432,2.918,9.337,5
1.518,2.981,8.997,5
1.508,3.048,8.708,5
1.475,3.093,8.391,5
1.494,3.158,8.066,5
1.571,3.203,7.779,5
1.657,3.27,7.589,5
1.681,3.356,7.388,5
1.69,3.488,7.185,6
1.695,3.534,7.022,5
1.731,3.536,7.034,5
1.827,3.514,7.075,5
1.894,3.474,7.18,5
1.963,3.443,7.369,5
2.021,3.313,7.515,5
2.071,3.198,7.688,5
2.109,3.105,7.898,5
2.195,3.016,8.059,5
2.145,2.89,8.229,5
2.037,2.803,8.442,5
1.784,2.741,8.511,5
1.506,2.729,8.626,5
1.207,2.676,8.779,5
0.927,2.732,9.002,5
0.634,2.801,9.294,5
0.395,2.806,9.593,5
0.227,2.813,9.811,5
0.069,2.851,10.091,5
-0.059,2.832,10.372,5
-0.181,2.87,10.642,5
-0.167,2.88,10.903,5
-0.033,2.861,11.19,5
0.144,2.801,11.365,5
0.414,2.741,11.37,6
0.651,2.657,11.188,5
0.876,2.559,10.898,5
1.068,2.499,10.597,5
1.25,2.459,10.3,5
1.379,2.497,10.022,5
1.439,2.545,9.672,5
1.415,2.586,9.462,5
1.374,2.705,9.287,5
1.312,2.846,9.062,5
1.283,3.005,8.87,5
1.207,3.177,8.633,5
1.137,3.359,8.411,5
1.123,3.486,8.236,5
1.065,3.591,8.018,5
1.094,3.716,7.862,5
1.056,3.816,7.75,5
1.034,3.931,7.7,5
0.974,3.969,7.762,5
0.955,4.046,7.803,5
0.915,4.07,7.889,5
0.9,4.01,7.965,5
0.9,4.034,8.013,5
0.934,4.036,8.111,5
0.938,4.005,8.229,6
0.941,3.998,8.384,5
0.893,4.017,8.494,5
0.848,3.991,8.595,5
0.821,4.005,8.672,5
0.821,4.027,8.722,5
0.819,4.012,8.729,5
0.79,4.051,8.734,5
0.759,4.111,8.648,5
0.706,4.137,8.576,5
0.644,4.149,8.595,5
0.622,4.252,8.595,5
0.603,4.297,8.518,5
0.587,4.331,8.506,5
0.596,4.376,8.518,5
0.551,4.393,8.514,5
0.56,4.451,8.502,5
0.498,4.487,8.571,5
0.405,4.563,8.66,5
0.373,4.647,8.76,5
0.376,4.745,8.779,5
0.4,4.762,8.741,5
0.433,4.726,8.715,5
0.5,4.613,8.813,5
0.689,4.508,9.002,5
0.802,4.384,9.134,6
0.855,4.324,9.244,5
0.907,4.266,9.292,5
0.948,4.211,9.352,5
0.991,4.178,9.378,5
1.017,4.101,9.414,5
1.02,3.993,9.349,5
