sensorspeed,units,gravity,Accuracy
0.788,0.093,9.795,0
0.824,0.084,9.744,5
0.8,0.096,9.787,5
0.797,0.091,9.79,5
0.819,0.067,9.799,5
0.812,0.093,9.814,5
0.804,0.096,9.744,5
0.814,0.079,9.802,5
0.807,0.069,9.797,5
0.826,0.064,9.806,5
0.836,0.115,9.768,5
0.809,0.103,9.792,5
0.814,0.062,9.804,5
0.792,0.081,9.816,5
0.79,0.11,9.792,5
0.783,0.098,9.783,5
0.792,0.086,9.787,5
0.778,0.084,9.761,5
0.819,0.079,9.766,5
0.802,0.088,9.785,5
0.8,0.074,9.775,5
0.807,0.086,9.792,5
0.795,0.072,9.787,5
0.776,0.086,9.79,5
0.807,0.091,9.775,6
0.816,0.098,9.756,5
0.788,0.05,9.79,5
0.807,0.093,9.799,5
0.771,0.119,9.814,5
0.821,0.093,9.768,5
0.814,0.086,9.751,5
0.79,0.084,9.775,5
0.819,0.091,9.773,5
0.816,0.088,9.814,5
0.802,0.088,9.816,5
0.804,0.079,9.768,5
0.833,0.086,9.763,5
0.845,0.086,9.749,5
0.836,0.079,9.763,5
0.809,0.1,9.785,5
0.797,0.043,9.821,5
0.8,0.072,9.811,5
0.804,0.1,9.783,5
0.802,0.093,9.771,5
0.776,0.081,9.754,5
0.816,0.119,9.737,5
0.802,0.122,9.792,5
0.819,0.069,9.792,5
0.792,0.076,9.766,6
0.804,0.076,9.795,5
0.771,0.115,9.761,5
0.821,0.096,9.759,5
0.807,0.103,9.754,5
0.78,0.072,9.773,5
0.78,0.096,9.79,5
0.783,0.093,9.828,5
0.785,0.086,9.747,5
0.814,0.084,9.783,5
0.807,0.084,9.823,5
0.809,0.057,9.759,5
0.821,0.067,9.79,5
0.819,0.117,9.78,5
0.821,0.098,9.795,5
0.79,0.105,9.799,5
0.816,0.093,9.766,5
0.795,0.108,9.802,5
0.807,0.086,9.778,5
0.807,0.086,9.739,5
0.776,0.076,9.821,5
0.809,0.069,9.771,5
0.816,0.096,9.727,5
0.804,0.081,9.802,5
0.79,0.105,9.79,6
0.78,0.086,9.797,5
0.771,0.086,9.766,5
0.812,0.05,9.79,5
0.785,0.062,9.818,5
0.783,0.024,9.775,5
0.807,0.108,9.771,5
0.766,0.108,9.795,5
0.8,0.1,9.809,5
0.826,0.108,9.78,5
0.819,0.1,9.792,5
0.816,0.084,9.778,5
0.792,0.076,9.795,5
0.792,0.069,9.766,5
0.804,0.026,9.821,5
0.831,0.048,9.797,5
0.812,0.069,9.749,5
0.814,0.117,9.768,5
0.795,0.076,9.79,5
0.804,0.091,9.811,5
0.821,0.088,9.799,5
0.828,0.098,9.821,5
0.824,0.069,9.799,5
0.802,0.1,9.78,5
0.788,0.108,9.744,6
0.804,0.074,9.778,5
0.773,0.108,9.816,5
0.764,0.1,9.79,5
0.79,0.081,9.783,5
0.768,0.086,9.787,5
0.788,0.084,9.78,5
0.78,0.081,9.802,5
0.809,0.064,9.771,5
0.792,0.105,9.775,5
0.857,0.064,9.773,5
0.824,0.108,9.761,5
0.816,0.086,9.802,5
0.8,0.096,9.816,5
0.788,0.084,9.833,5
0.797,0.115,9.787,5
0.795,0.086,9.742,5
0.816,0.074,9.802,5
0.792,0.088,9.821,5
0.792,0.108,9.809,5
0.824,0.076,9.787,5
0.816,0.067,9.809,5
0.768,0.084,9.766,5
0.809,0.076,9.79,5
0.819,0.093,9.78,6
0.778,0.074,9.778,5
0.773,0.072,9.811,5
0.78,0.124,9.766,5
0.816,0.108,9.811,5
0.792,0.11,9.768,5
0.802,0.079,9.732,5
0.79,0.084,9.78,5
0.807,0.064,9.778,5
0.819,0.086,9.751,5
0.826,0.086,9.826,5
0.802,0.091,9.804,5
0.778,0.062,9.749,5
0.797,0.093,9.768,5
0.828,0.06,9.756,5
0.816,0.096,9.701,5
0.773,0.108,9.682,5
0.809,0.086,9.833,5
0.79,0.098,9.883,5
0.807,0.084,9.818,5
0.792,0.06,9.749,5
0.79,0.026,9.761,5
0.812,0.108,9.701,5
0.819,0.124,9.737,5
0.828,0.108,9.684,5
0.8,0.079,9.802,6
0.816,0.117,9.924,5
0.795,0.098,9.847,5
0.783,0.067,9.759,5
0.869,0.055,9.732,5
0.807,0.086,9.716,5
0.804,0.067,9.751,5
0.838,0.1,9.773,5
0.833,0.117,9.828,5
0.792,0.119,9.809,5
0.812,0.081,9.665,5
0.8,0.081,9.78,5
0.788,0.096,9.912,5
0.807,0.103,9.742,5
0.795,0.105,9.723,5
0.788,0.108,9.775,5
0.84,0.074,9.711,5
0.814,0.084,9.797,5
0.804,0.079,9.773,5
0.807,0.074,9.761,5
0.821,0.074,9.79,5
0.836,0.088,9.783,5
0.766,0.072,9.725,5
0.816,0.112,9.768,6
0.807,0.112,9.809,5
0.795,0.1,9.785,5
