sensorspeed,units,gravity,Accuracy
1.046,5.138,7.69,0
0.989,5.186,7.554,5
0.95,5.233,7.431,5
0.907,5.281,7.355,5
0.826,5.408,7.254,5
0.776,5.538,7.178,5
0.749,5.605,7.166,5
0.692,5.614,7.12,5
0.608,5.597,7.166,5
0.673,5.274,6.996,5
1.152,4.482,5.796,5
1.207,5.071,6.723,5
0.967,5.672,7.695,5
0.584,5.916,8.102,5
0.405,5.949,8.08,5
0.364,5.849,7.836,5
0.278,5.717,7.609,5
0.23,5.607,7.484,5
0.199,5.602,7.455,5
0.278,5.633,7.439,5
0.314,5.674,7.52,5
0.328,5.686,7.568,5
0.302,5.674,7.625,5
0.268,5.609,7.707,5
0.244,5.571,7.676,6
0.254,5.49,7.707,5
0.247,5.502,7.812,5
0.218,5.497,7.889,5
0.079,5.492,7.903,5
0.22,5.279,7.879,5
0.335,5.123,7.872,5
0.235,5.219,7.927,5
0.033,5.205,7.8,5
0.079,4.154,7.656,5
0.883,4.19,7.575,5
1.367,4.642,7.424,5
1.487,4.836,7.297,5
1.48,5.181,7.264,5
1.432,5.451,7.245,5
1.353,5.717,7.345,5
1.082,5.784,7.558,5
0.721,5.746,7.759,5
0.476,5.705,7.961,5
0.294,5.65,8.176,5
0.105,5.607,8.377,5
-0.219,5.562,8.657,5
-0.44,5.427,8.827,5
-0.475,5.253,8.925,5
-0.334,5.126,9.067,5
-0.124,4.973,9.234,6
0.065,4.74,9.268,5
0.053,4.355,9.071,5
-0.356,3.852,8.463,5
-0.097,4.156,8.516,5
0.668,4.331,8.449,5
1.142,4.367,8.102,5
1.489,4.46,7.807,5
1.796,4.463,7.491,5
2.004,4.47,7.238,5
2.131,4.68,7.24,5
2.416,4.905,7.522,5
2.579,4.965,7.776,5
2.478,4.884,7.896,5
2.057,4.683,8.042,5
1.551,4.549,8.147,5
1.195,4.513,8.245,5
1.008,4.458,8.317,5
1.046,4.408,8.363,5
1.185,4.221,8.348,5
1.197,4.3,8.356,5
1.118,4.546,8.396,5
1.001,4.81,8.387,5
0.893,4.915,8.26,5
0.644,4.968,8.135,5
0.508,5.2,7.989,6
0.627,5.423,8.025,5
0.778,5.485,8.052,5
0.658,5.425,8.092,5
0.345,5.308,8.154,5
0.117,5.157,8.274,5
0.108,4.975,8.365,5
0.134,4.783,8.344,5
0.127,4.642,8.257,5
0.201,4.568,8.152,5
0.297,4.563,8.09,5
0.235,4.625,8.131,5
0.129,4.728,8.162,5
0.038,4.81,8.214,5
0.012,4.848,8.243,5
-0.028,4.884,8.229,5
-0.016,4.934,8.162,5
0.045,4.946,8.119,5
0.033,4.992,8.078,5
0.01,4.977,8.011,5
0.01,4.946,7.975,5
0.012,4.891,8.001,5
-0.021,4.81,8.056,5
-0.088,4.752,8.099,5
-0.085,4.747,8.075,5
-0.001,4.709,8.111,6
0.098,4.712,8.085,5
0.316,4.697,8.013,5
0.505,4.7,7.958,5
0.673,4.8,7.862,5
0.745,4.882,7.759,5
0.778,4.963,7.659,5
0.759,5.052,7.542,5
0.656,5.15,7.424,5
0.575,5.202,7.374,5
0.426,5.222,7.333,5
0.194,5.19,7.343,5
-0.009,5.171,7.374,5
-0.195,5.243,7.436,5
-0.27,5.32,7.448,5
-0.267,5.439,7.424,5
-0.2,5.576,7.422,5
-0.057,5.629,7.515,5
