sensorspeed,units,gravity,Accuracy
0.826,0.074,9.766,0
0.814,0.069,9.773,5
0.802,0.064,9.78,5
0.795,0.079,9.761,5
0.838,0.069,9.773,5
0.852,0.048,9.763,5
0.802,0.052,9.778,5
0.824,0.067,9.802,5
0.838,0.098,9.756,5
0.824,0.081,9.759,5
0.809,0.086,9.768,5
0.812,0.064,9.761,5
0.802,0.079,9.79,5
0.783,0.086,9.787,5
0.828,0.069,9.783,5
0.797,0.055,9.763,5
0.824,0.057,9.756,5
0.797,0.076,9.766,5
0.826,0.084,9.811,5
0.821,0.074,9.771,5
0.819,0.045,9.799,5
0.816,0.067,9.792,5
0.792,0.086,9.78,5
0.831,0.103,9.759,5
0.826,0.069,9.773,6
0.831,0.091,9.799,5
0.804,0.115,9.763,5
0.833,0.098,9.761,5
0.809,0.105,9.795,5
0.814,0.06,9.816,5
0.783,0.091,9.754,5
0.792,0.084,9.804,5
0.809,0.086,9.778,5
0.828,0.05,9.802,5
0.826,0.069,9.811,5
0.792,0.074,9.768,5
0.809,0.096,9.78,5
0.852,0.072,9.79,5
0.843,0.076,9.802,5
0.804,0.081,9.749,5
0.814,0.072,9.773,5
0.831,0.079,9.78,5
0.812,0.067,9.785,5
0.812,0.088,9.823,5
0.828,0.064,9.783,5
0.828,0.096,9.756,5
0.824,0.067,9.79,5
0.862,0.074,9.778,5
0.792,0.105,9.754,6
0.821,0.091,9.773,5
0.826,0.093,9.814,5
0.843,0.076,9.787,5
0.795,0.084,9.761,5
0.807,0.074,9.795,5
0.804,0.069,9.751,5
0.814,0.079,9.747,5
0.807,0.076,9.771,5
0.788,0.048,9.775,5
0.816,0.091,9.79,5
0.797,0.093,9.771,5
0.848,0.069,9.735,5
0.807,0.076,9.814,5
0.819,0.096,9.716,5
0.795,0.093,9.742,5
0.8,0.05,9.778,5
0.795,0.084,9.754,5
0.855,0.093,9.773,5
0.812,0.088,9.775,5
0.824,0.091,9.768,5
0.828,0.091,9.826,5
0.819,0.081,9.795,5
0.797,0.072,9.79,6
0.833,0.103,9.79,5
0.833,0.11,9.761,5
0.792,0.081,9.742,5
0.821,0.04,9.759,5
0.824,0.079,9.759,5
0.826,0.093,9.778,5
0.859,0.081,9.783,5
0.826,0.064,9.79,5
0.845,0.076,9.79,5
0.816,0.057,9.739,5
0.876,0.079,9.806,5
0.85,0.086,9.845,5
0.816,0.103,9.555,5
0.79,0.122,9.663,5
0.879,0.055,9.905,5
0.871,0.026,10.118,5
0.771,0.11,9.893,5
0.809,0.136,9.505,5
0.804,0.079,9.622,5
0.821,0.079,9.684,5
0.814,0.072,9.816,5
0.824,0.093,9.912,5
0.828,0.079,9.838,5
0.812,0.081,9.775,6
0.8,0.119,9.699,5
0.804,0.093,9.682,5
0.836,0.055,9.704,5
0.802,0.038,9.914,5
0.816,0.112,9.857,5
0.836,0.086,9.716,5
0.816,0.098,9.756,5
0.809,0.081,9.787,5
0.828,0.096,9.859,5
0.831,0.096,9.775,5
0.84,0.079,9.641,5
0.852,0.052,9.692,5
0.819,0.04,9.814,5
0.821,0.086,9.85,5
0.855,0.091,9.802,5
0.831,0.069,9.732,5
0.785,0.108,9.749,5
0.831,0.115,9.785,5
0.79,0.084,9.773,5
0.836,0.072,9.799,5
0.797,0.098,9.759,5
0.778,0.021,9.799,5
0.836,0.057,9.874,5
0.828,0.098,9.639,6
0.768,0.115,9.639,5
0.864,0.005,9.85,5
0.871,0.064,10.146,5
0.8,0.112,9.917,5
0.807,0.117,9.548,5
0.778,0.069,9.675,5
0.819,0.052,9.744,5
0.826,0.081,9.785,5
0.812,0.062,9.866,5
0.824,0.081,9.811,5
0.836,0.074,9.79,5
0.821,0.091,9.85,5
0.836,0.074,9.694,5
0.833,0.1,9.701,5
0.804,0.062,9.804,5
0.84,0.067,9.835,5
0.809,0.086,9.78,5
0.843,0.06,9.706,5
0.836,0.081,9.759,5
0.8,0.069,9.881,5
0.812,0.076,9.816,5
0.862,0.081,9.665,5
0.821,0.084,9.716,6
0.838,0.064,9.795,5
0.85,0.06,9.874,5
0.807,0.069,9.783,5
0.819,0.091,9.72,5
0.819,0.112,9.754,5
0.852,0.105,9.792,5
0.831,0.1,9.747,5
