sensorspeed,units,gravity,Accuracy
0.807,0.069,9.792,0
0.84,0.074,9.814,5
0.809,0.086,9.816,5
0.809,0.064,9.838,5
0.792,0.093,9.783,5
0.828,0.074,9.802,5
0.821,0.084,9.806,5
0.809,0.06,9.79,5
0.845,0.076,9.799,5
0.824,0.1,9.806,5
0.848,0.1,9.771,5
0.8,0.076,9.778,5
0.807,0.069,9.783,5
0.79,0.079,9.804,5
0.826,0.055,9.792,5
0.833,0.088,9.766,5
0.821,0.074,9.838,5
0.809,0.108,9.799,5
0.821,0.079,9.809,5
0.838,0.076,9.818,5
0.814,0.045,9.809,5
0.812,0.038,9.787,5
0.828,0.079,9.797,5
0.826,0.096,9.761,5
0.828,0.091,9.756,6
0.804,0.048,9.785,5
0.788,0.06,9.768,5
0.824,0.057,9.775,5
0.836,0.084,9.766,5
0.802,0.06,9.806,5
0.84,0.108,9.809,5
0.792,0.081,9.792,5
0.831,0.06,9.806,5
0.824,0.062,9.766,5
0.84,0.036,9.759,5
0.812,0.06,9.771,5
0.821,0.062,9.766,5
0.819,0.088,9.749,5
0.833,0.045,9.787,5
0.816,0.038,9.763,5
0.833,0.088,9.778,5
0.824,0.064,9.768,5
0.816,0.045,9.771,5
0.84,0.043,9.804,5
0.814,0.057,9.78,5
0.826,0.038,9.799,5
0.843,0.04,9.763,5
0.859,0.088,9.785,5
0.792,0.112,9.783,5
0.833,0.074,9.78,6
0.838,0.06,9.778,5
0.819,0.084,9.806,5
0.821,0.055,9.797,5
0.828,0.021,9.773,5
0.871,0.064,9.806,5
0.816,0.055,9.799,5
0.797,0.072,9.783,5
0.8,0.072,9.783,5
0.809,0.069,9.814,5
0.809,0.062,9.785,5
0.812,0.05,9.802,5
0.819,0.103,9.806,5
0.804,0.088,9.78,5
0.816,0.074,9.763,5
0.809,0.057,9.783,5
0.845,0.084,9.747,5
0.809,0.069,9.759,5
0.836,0.062,9.792,5
0.785,0.076,9.756,5
0.8,0.1,9.785,5
0.833,0.079,9.773,5
0.836,0.076,9.804,5
0.809,0.081,9.802,5
0.812,0.064,9.797,5
0.859,0.086,9.775,6
0.828,0.072,9.768,5
0.821,0.091,9.768,5
0.824,0.088,9.814,5
0.821,0.069,9.79,5
0.814,0.103,9.716,5
0.85,0.069,9.79,5
0.812,0.088,9.795,5
0.809,0.052,9.742,5
0.843,0.064,9.79,5
0.828,0.072,9.804,5
0.85,0.074,9.785,5
0.85,0.079,9.79,5
0.85,0.115,9.773,5
0.807,0.057,9.751,5
0.816,0.052,9.785,5
0.797,0.096,9.78,5
0.812,0.036,9.787,5
0.816,0.091,9.763,5
0.84,0.069,9.785,5
0.8,0.069,9.78,5
0.802,0.074,9.802,5
0.852,0.076,9.802,5
0.814,0.06,9.778,5
0.819,0.067,9.802,5
0.821,0.062,9.816,6
0.843,0.026,9.814,5
0.821,0.057,9.771,5
0.869,0.064,9.787,5
0.84,0.105,9.773,5
0.809,0.04,9.795,5
0.821,0.074,9.802,5
0.867,0.084,9.802,5
0.848,0.084,9.766,5
0.814,0.088,9.797,5
0.848,0.067,9.778,5
0.838,0.081,9.754,5
0.852,0.064,9.792,5
0.809,0.079,9.78,5
0.831,0.069,9.84,5
0.843,0.103,9.804,5
0.831,0.074,9.763,5
0.816,0.086,9.775,5
0.79,0.084,9.816,5
0.819,0.076,9.823,5
0.812,0.096,9.787,5
0.843,0.072,9.814,5
0.819,0.064,9.792,5
0.819,0.086,9.795,5
0.821,0.086,9.775,6
0.821,0.045,9.773,5
0.809,0.096,9.766,5
0.792,0.079,9.811,5
0.814,0.088,9.809,5
0.821,0.086,9.785,5
0.809,0.088,9.783,5
0.802,0.086,9.797,5
0.855,0.079,9.823,5
0.816,0.069,9.778,5
0.838,0.081,9.778,5
0.824,0.081,9.766,5
0.821,0.06,9.799,5
0.821,0.074,9.778,5
0.824,0.076,9.775,5
0.838,0.11,9.816,5
0.85,0.088,9.761,5
0.84,0.081,9.775,5
0.819,0.103,9.802,5
0.84,0.076,9.775,5
0.826,0.079,9.79,5
0.836,0.062,9.783,5
0.824,0.079,9.775,5
0.824,0.076,9.763,5
0.816,0.091,9.763,5
0.8,0.108,9.778,6
0.819,0.098,9.768,5
0.816,0.1,9.771,5
0.84,0.076,9.778,5
0.84,0.055,9.768,5
0.831,0.084,9.792,5
0.812,0.052,9.787,5
0.848,0.055,9.778,5
0.84,0.081,9.744,5
0.883,0.055,9.804,5
0.826,0.062,9.785,5
0.797,0.069,9.778,5
0.836,0.05,9.792,5
0.8,0.072,9.785,5
0.824,0.072,9.814,5
0.814,0.076,9.821,5
0.836,0.072,9.799,5
0.843,0.091,9.766,5
0.831,0.074,9.735,5
0.809,0.096,9.792,5
0.819,0.076,9.771,5
0.819,0.086,9.785,5
0.824,0.074,9.792,5
0.821,0.057,9.761,5
0.826,0.062,9.814,6
0.836,0.067,9.802,5
0.819,0.064,9.759,5
0.864,0.045,9.761,5
0.804,0.084,9.768,5
0.821,0.069,9.797,5
0.828,0.088,9.787,5
0.809,0.076,9.773,5
0.814,0.055,9.747,5
0.831,0.069,9.792,5
0.848,0.064,9.821,5
0.792,0.052,9.763,5
0.807,0.048,9.809,5
0.78,0.079,9.811,5
0.814,0.038,9.792,5
0.807,0.069,9.799,5
0.821,0.069,9.766,5
0.84,0.096,9.78,5
0.795,0.076,9.802,5
0.828,0.084,9.778,5
0.824,0.11,9.792,5
0.833,0.055,9.766,5
0.824,0.06,9.79,5
0.79,0.088,9.809,5
0.814,0.074,9.806,6
0.836,0.072,9.785,5
0.838,0.084,9.787,5
0.826,0.069,9.809,5
0.812,0.057,9.783,5
0.828,0.048,9.802,5
0.816,0.1,9.795,5
0.8,0.079,9.751,5
0.852,0.064,9.751,5
0.797,0.064,9.775,5
0.831,0.067,9.799,5
0.836,0.103,9.809,5
0.826,0.076,9.818,5
0.802,0.06,9.799,5
0.812,0.06,9.802,5
0.824,0.079,9.763,5
0.836,0.091,9.78,5
0.831,0.079,9.771,5
0.816,0.043,9.778,5
0.833,0.072,9.766,5
0.828,0.091,9.763,5
0.85,0.074,9.816,5
0.807,0.084,9.809,5
0.816,0.057,9.799,5
0.812,0.093,9.761,5
0.833,0.072,9.814,6
0.855,0.064,9.814,5
0.807,0.055,9.763,5
0.852,0.048,9.771,5
0.857,0.091,9.809,5
0.859,0.064,9.809,5
0.814,0.069,9.795,5
0.814,0.072,9.78,5
0.826,0.1,9.787,5
0.845,0.067,9.771,5
0.821,0.069,9.78,5
0.845,0.103,9.799,5
0.852,0.072,9.771,5
0.831,0.04,9.823,5
0.821,0.093,9.814,5
0.814,0.088,9.797,5
0.812,0.052,9.79,5
0.819,0.045,9.759,5
0.852,0.108,9.802,5
0.831,0.084,9.802,5
0.795,0.06,9.785,5
0.804,0.076,9.795,5
0.838,0.06,9.78,5
0.845,0.086,9.775,5
0.833,0.055,9.802,6
0.812,0.088,9.811,5
0.816,0.052,9.787,5
0.862,0.043,9.78,5
0.831,0.069,9.759,5
0.824,0.069,9.823,5
0.802,0.072,9.795,5
0.836,0.096,9.806,5
0.824,0.091,9.763,5
0.824,0.079,9.744,5
0.84,0.098,9.78,5
0.821,0.064,9.787,5
0.828,0.072,9.766,5
0.828,0.06,9.763,5
0.864,0.067,9.818,5
0.783,0.091,9.79,5
0.838,0.084,9.802,5
0.855,0.108,9.759,5
0.862,0.079,9.797,5
0.824,0.064,9.785,5
0.819,0.072,9.814,5
0.848,0.088,9.773,5
0.848,0.072,9.79,5
0.828,0.096,9.797,5
0.821,0.081,9.775,5
0.845,0.05,9.783,6
0.814,0.084,9.771,5
0.812,0.055,9.804,5
0.804,0.064,9.792,5
0.814,0.06,9.797,5
0.807,0.093,9.778,5
0.836,0.055,9.79,5
0.804,0.074,9.766,5
0.804,0.06,9.818,5
0.816,0.031,9.761,5
0.8,0.064,9.778,5
0.836,0.091,9.795,5
0.814,0.084,9.795,5
0.812,0.079,9.795,5
0.8,0.112,9.744,5
0.848,0.093,9.814,5
0.821,0.045,9.778,5
0.802,0.036,9.816,5
0.821,0.076,9.797,5
0.857,0.079,9.754,5
0.819,0.048,9.749,5
0.821,0.06,9.833,5
0.838,0.067,9.814,5
0.795,0.086,9.763,5
0.812,0.064,9.756,5
0.824,0.038,9.79,6
0.838,0.048,9.838,5
0.833,0.062,9.797,5
0.802,0.074,9.773,5
0.824,0.088,9.783,5
0.819,0.045,9.802,5
0.821,0.069,9.773,5
0.826,0.084,9.761,5
0.833,0.076,9.756,5
0.814,0.072,9.792,5
0.845,0.055,9.806,5
0.8,0.088,9.763,5
0.804,0.086,9.802,5
0.816,0.103,9.744,5
0.824,0.064,9.802,5
0.816,0.033,9.816,5
0.792,0.069,9.811,5
0.814,0.076,9.814,5
0.802,0.076,9.775,5
0.84,0.079,9.804,5
0.814,0.081,9.766,5
0.833,0.031,9.775,5
0.838,0.064,9.785,5
0.802,0.057,9.797,5
0.804,0.057,9.828,6
0.828,0.052,9.811,5
0.838,0.091,9.751,5
0.833,0.067,9.787,5
0.824,0.048,9.811,5
0.804,0.06,9.809,5
0.867,0.074,9.804,5
0.821,0.074,9.766,5
0.828,0.067,9.785,5
0.857,0.062,9.785,5
0.867,0.033,9.783,5
0.833,0.098,9.792,5
0.864,0.055,9.79,5
0.833,0.072,9.756,5
0.795,0.048,9.787,5
0.812,0.072,9.814,5
0.816,0.096,9.73,5
0.804,0.074,9.792,5
0.812,0.103,9.802,5
0.843,0.117,9.802,5
0.809,0.096,9.754,5
0.816,0.069,9.795,5
0.807,0.079,9.799,5
0.857,0.048,9.768,5
0.855,0.067,9.821,6
0.833,0.081,9.78,5
0.828,0.055,9.763,5
0.802,0.074,9.766,5
0.831,0.088,9.797,5
0.804,0.091,9.763,5
0.816,0.069,9.78,5
0.838,0.072,9.785,5
0.821,0.067,9.799,5
0.828,0.086,9.773,5
0.848,0.05,9.749,5
0.867,0.055,9.795,5
0.819,0.076,9.811,5
0.859,0.072,9.806,5
0.807,0.093,9.799,5
0.843,0.062,9.806,5
0.845,0.081,9.809,5
0.828,0.026,9.802,5
0.814,0.067,9.795,5
0.836,0.048,9.787,5
0.833,0.1,9.783,5
0.797,0.05,9.799,5
0.826,0.048,9.811,5
0.812,0.088,9.821,5
0.816,0.062,9.775,5
0.797,0.069,9.763,6
0.821,0.076,9.802,5
0.8,0.074,9.785,5
0.807,0.038,9.763,5
0.864,0.074,9.754,5
0.838,0.086,9.823,5
0.816,0.091,9.821,5
